so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
2,-1,800,-1,-1,-1,0.179833,32,32
2,128,800,2,2,2,1.893063,32,32
2,128,800,2,2,4,0.970254,32,32
2,128,800,2,2,8,0.498852,32,32
2,128,800,2,2,16,0.291861,32,32
2,128,800,2,2,32,0.184421,32,32
2,128,800,2,2,64,0.15709,32,32
2,128,800,2,4,2,0.962518,32,32
2,128,800,2,4,4,0.497078,32,33
2,128,800,2,4,8,0.293119,33,33
2,128,800,2,4,16,0.220691,33,33
2,128,800,2,4,32,0.159482,33,33
2,128,800,2,4,64,0.14592,33,33
2,128,800,2,8,2,0.499725,33,33
2,128,800,2,8,4,0.299698,33,33
2,128,800,2,8,8,0.214764,33,33
2,128,800,2,8,16,0.206949,33,33
2,128,800,2,8,32,0.155922,33,33
2,128,800,2,8,64,0.150117,33,33
2,128,800,2,16,2,0.352971,33,33
2,128,800,2,16,4,0.261976,33,33
2,128,800,2,16,8,0.250667,33,33
2,128,800,2,16,16,0.233543,33,33
2,128,800,2,16,32,0.182349,33,34
2,128,800,2,32,2,1.155423,34,34
2,128,800,2,32,4,0.723771,34,34
2,128,800,2,32,8,0.427622,34,34
2,128,800,2,32,16,0.27065,34,34
2,128,800,2,64,2,1.58562,34,34
2,128,800,2,64,4,0.863327,34,34
2,128,800,2,64,8,0.477235,34,34
2,128,800,4,2,2,0.964562,34,34
2,128,800,4,2,4,0.499872,34,34
2,128,800,4,2,8,0.292886,34,34
2,128,800,4,2,16,0.21827,34,34
2,128,800,4,2,32,0.160597,34,34
2,128,800,4,2,64,0.145824,34,34
2,128,800,4,4,2,0.50239,34,34
2,128,800,4,4,4,0.297406,34,34
2,128,800,4,4,8,0.203964,34,34
2,128,800,4,4,16,0.200683,34,34
2,128,800,4,4,32,0.149111,34,34
2,128,800,4,4,64,0.149472,34,34
2,128,800,4,8,2,0.339689,34,34
2,128,800,4,8,4,0.233068,34,34
2,128,800,4,8,8,0.223228,34,34
2,128,800,4,8,16,0.213948,34,34
2,128,800,4,8,32,0.17754,34,34
2,128,800,4,16,2,0.92217,34,34
2,128,800,4,16,4,0.648297,34,35
2,128,800,4,16,8,0.395412,35,35
2,128,800,4,16,16,0.242848,35,35
2,128,800,4,32,2,1.43962,35,35
2,128,800,4,32,4,0.754694,35,35
2,128,800,4,32,8,0.42541,35,35
2,128,800,4,64,2,1.524815,35,35
2,128,800,4,64,4,0.876142,35,35
2,128,800,8,2,2,0.522625,35,35
2,128,800,8,2,4,0.30877,35,35
2,128,800,8,2,8,0.216915,35,35
2,128,800,8,2,16,0.208794,35,35
2,128,800,8,2,32,0.155551,35,35
2,128,800,8,2,64,0.15763,35,35
2,128,800,8,4,2,0.368852,35,35
2,128,800,8,4,4,0.238878,35,35
2,128,800,8,4,8,0.224964,35,35
2,128,800,8,4,16,0.216726,35,35
2,128,800,8,4,32,0.178793,35,35
2,128,800,8,8,2,0.909602,35,35
2,128,800,8,8,4,0.628019,35,35
2,128,800,8,8,8,0.391891,35,35
2,128,800,8,8,16,0.236722,35,35
2,128,800,8,16,2,1.393764,35,35
2,128,800,8,16,4,0.717846,35,35
2,128,800,8,16,8,0.377571,35,35
2,128,800,8,32,2,1.421218,35,35
2,128,800,8,32,4,0.724257,35,35
2,128,800,8,64,2,1.473914,35,35
2,128,800,16,2,2,0.624735,35,35
2,128,800,16,2,4,0.319552,35,35
2,128,800,16,2,8,0.256785,35,35
2,128,800,16,2,16,0.239326,35,35
2,128,800,16,2,32,0.193529,35,35
2,128,800,16,4,2,0.983991,35,35
2,128,800,16,4,4,0.664291,35,35
2,128,800,16,4,8,0.404254,35,35
2,128,800,16,4,16,0.24103,35,35
2,128,800,16,8,2,1.392543,35,35
2,128,800,16,8,4,0.715577,35,35
2,128,800,16,8,8,0.374651,35,35
2,128,800,16,16,2,1.398868,35,35
2,128,800,16,16,4,0.704959,35,35
2,128,800,16,32,2,1.402647,35,35
2,128,800,32,2,2,1.183525,35,35
2,128,800,32,2,4,0.754267,35,35
