so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
2,-1,800,-1,-1,-1,0.257721,41,41
2,128,800,2,2,2,4.776268,41,41
2,128,800,2,2,4,2.42773,41,41
2,128,800,2,2,8,1.22766,41,41
2,128,800,2,2,16,0.637444,40,40
2,128,800,2,2,32,0.345802,40,40
2,128,800,2,2,64,0.24599,40,40
2,128,800,2,4,2,2.426146,40,40
2,128,800,2,4,4,1.231139,40,40
2,128,800,2,4,8,0.641443,40,40
2,128,800,2,4,16,0.343668,40,40
2,128,800,2,4,32,0.248648,39,39
2,128,800,2,4,64,0.199684,39,39
2,128,800,2,8,2,1.23395,39,39
2,128,800,2,8,4,0.646084,39,39
2,128,800,2,8,8,0.346059,39,39
2,128,800,2,8,16,0.248048,39,39
2,128,800,2,8,32,0.20153,39,39
2,128,800,2,8,64,0.177735,39,39
2,128,800,2,16,2,0.666901,38,39
2,128,800,2,16,4,0.356114,39,39
2,128,800,2,16,8,0.251175,39,39
2,128,800,2,16,16,0.204112,38,38
2,128,800,2,16,32,0.180165,38,38
2,128,800,2,32,2,0.427624,38,39
2,128,800,2,32,4,0.281173,39,39
2,128,800,2,32,8,0.214311,39,39
2,128,800,2,32,16,0.1849,38,39
2,128,800,2,64,2,0.377605,38,39
2,128,800,2,64,4,0.247139,39,39
2,128,800,2,64,8,0.192463,39,39
2,128,800,4,2,2,2.430103,39,39
2,128,800,4,2,4,1.232729,39,39
2,128,800,4,2,8,0.641581,39,39
2,128,800,4,2,16,0.342095,39,39
2,128,800,4,2,32,0.247858,39,39
2,128,800,4,2,64,0.200122,39,39
2,128,800,4,4,2,1.235298,39,39
2,128,800,4,4,4,0.645238,39,39
2,128,800,4,4,8,0.344735,39,39
2,128,800,4,4,16,0.247185,39,39
2,128,800,4,4,32,0.202744,39,39
2,128,800,4,4,64,0.177813,39,39
2,128,800,4,8,2,0.665515,39,39
2,128,800,4,8,4,0.353991,39,39
2,128,800,4,8,8,0.250355,39,39
2,128,800,4,8,16,0.202679,39,39
2,128,800,4,8,32,0.179841,39,39
2,128,800,4,16,2,0.412024,39,39
2,128,800,4,16,4,0.26994,39,39
2,128,800,4,16,8,0.207597,38,38
2,128,800,4,16,16,0.181803,38,38
2,128,800,4,32,2,0.358289,38,38
2,128,800,4,32,4,0.241617,38,38
2,128,800,4,32,8,0.188605,38,38
2,128,800,4,64,2,0.354583,38,38
2,128,800,4,64,4,0.232101,38,38
2,128,800,8,2,2,1.239604,38,38
2,128,800,8,2,4,0.648274,38,38
2,128,800,8,2,8,0.344758,38,38
2,128,800,8,2,16,0.245658,38,38
2,128,800,8,2,32,0.200328,37,37
2,128,800,8,2,64,0.178747,37,37
2,128,800,8,4,2,0.666151,37,37
2,128,800,8,4,4,0.353488,37,37
2,128,800,8,4,8,0.248718,37,37
2,128,800,8,4,16,0.200912,37,37
2,128,800,8,4,32,0.180508,37,37
2,128,800,8,8,2,0.409027,37,38
2,128,800,8,8,4,0.265752,37,38
2,128,800,8,8,8,0.205407,38,38
2,128,800,8,8,16,0.181493,38,38
2,128,800,8,16,2,0.346439,38,38
2,128,800,8,16,4,0.230923,38,38
2,128,800,8,16,8,0.186138,38,38
2,128,800,8,32,2,0.333549,38,38
2,128,800,8,32,4,0.227329,38,38
2,128,800,8,64,2,0.355221,38,38
2,128,800,16,2,2,0.694497,38,38
2,128,800,16,2,4,0.366528,38,38
2,128,800,16,2,8,0.249208,38,38
2,128,800,16,2,16,0.200139,38,38
2,128,800,16,2,32,0.177821,38,38
2,128,800,16,4,2,0.429409,38,38
2,128,800,16,4,4,0.266769,38,38
2,128,800,16,4,8,0.204949,38,38
2,128,800,16,4,16,0.179317,38,38
2,128,800,16,8,2,0.344461,38,38
2,128,800,16,8,4,0.228382,38,38
2,128,800,16,8,8,0.184493,38,38
2,128,800,16,16,2,0.322356,38,38
2,128,800,16,16,4,0.213718,38,38
2,128,800,16,32,2,0.336885,38,38
2,128,800,32,2,2,0.704739,38,38
2,128,800,32,2,4,0.305245,38,38
2,128,800,32,2,8,0.20828,38,38
2,128,800,32,2,16,0.179876,38,38
2,128,800,32,4,2,0.38695,38,38
2,128,800,32,4,4,0.231642,38,38
2,128,800,32,4,8,0.185685,38,38
2,128,800,32,8,2,0.321494,38,38
2,128,800,32,8,4,0.211731,38,38
2,128,800,32,16,2,0.324885,38,39
2,128,800,64,2,2,0.677326,38,39
2,128,800,64,2,4,0.286348,39,39
2,128,800,64,2,8,0.187376,39,39
2,128,800,64,4,2,0.371555,39,39
2,128,800,64,4,4,0.214139,39,39
2,128,800,64,8,2,0.319389,39,39
2,256,800,2,2,2,5.326957,39,40
2,256,800,2,2,4,2.696932,40,40
2,256,800,2,2,8,1.360094,40,40
2,256,800,2,2,16,0.714247,40,40
2,256,800,2,2,32,0.388087,40,40
2,256,800,2,2,64,0.231669,39,39
2,256,800,2,4,2,2.698882,39,40
2,256,800,2,4,4,1.365505,39,39
2,256,800,2,4,8,0.716526,39,39
2,256,800,2,4,16,0.383328,39,39
2,256,800,2,4,32,0.233557,39,38
2,256,800,2,4,64,0.175366,38,38
2,256,800,2,8,2,1.370608,38,38
2,256,800,2,8,4,0.719254,38,38
2,256,800,2,8,8,0.385361,38,38
2,256,800,2,8,16,0.234304,38,38
2,256,800,2,8,32,0.176634,38,38
2,256,800,2,8,64,0.145958,38,38
2,256,800,2,16,2,0.736993,37,38
2,256,800,2,16,4,0.395906,38,38
2,256,800,2,16,8,0.241117,38,38
2,256,800,2,16,16,0.177108,38,38
2,256,800,2,16,32,0.147926,38,38
2,256,800,2,32,2,0.452659,38,38
2,256,800,2,32,4,0.266693,38,38
2,256,800,2,32,8,0.18588,38,38
2,256,800,2,32,16,0.151985,38,38
2,256,800,2,64,2,0.354383,38,38
2,256,800,2,64,4,0.221205,38,38
2,256,800,2,64,8,0.160547,38,38
2,256,800,4,2,2,2.703431,38,39
2,256,800,4,2,4,1.367506,39,39
2,256,800,4,2,8,0.716821,39,39
2,256,800,4,2,16,0.383257,38,38
2,256,800,4,2,32,0.23237,38,38
2,256,800,4,2,64,0.174232,38,38
2,256,800,4,4,2,1.372168,38,38
2,256,800,4,4,4,0.720045,38,38
2,256,800,4,4,8,0.38629,38,38
2,256,800,4,4,16,0.232719,38,38
2,256,800,4,4,32,0.175752,38,38
2,256,800,4,4,64,0.146548,38,38
2,256,800,4,8,2,0.736357,38,38
2,256,800,4,8,4,0.393158,38,38
2,256,800,4,8,8,0.238711,38,38
