so,thread_limit,iteration,x,y,z,execution time, begin temperature,end temperature
16,-1,800,-1,-1,-1,0.686744,35,36
16,128,800,1,1,1,1.060525,36,36
16,128,800,1,1,2,0.698565,36,36
16,128,800,1,1,4,0.727893,36,37
16,128,800,1,1,8,1.237859,37,37
16,128,800,1,1,16,6.343103,37,39
16,128,800,1,1,32,6.935738,39,41
16,128,800,1,1,64,7.555108,40,42
16,128,800,1,2,1,0.94955,42,41
16,128,800,1,2,2,0.641086,41,40
16,128,800,1,2,4,0.71933,40,39
16,128,800,1,2,8,1.483831,39,39
16,128,800,1,2,16,6.201018,39,41
16,128,800,1,2,32,7.581541,40,43
16,128,800,1,2,64,8.118122,42,44
16,128,800,1,4,1,0.881313,43,42
16,128,800,1,4,2,0.634492,42,41
16,128,800,1,4,4,0.707776,41,40
16,128,800,1,4,8,1.946033,40,40
16,128,800,1,4,16,6.350003,40,42
16,128,800,1,4,32,8.681455,41,43
16,128,800,1,8,1,0.848823,43,42
16,128,800,1,8,2,0.653295,41,40
16,128,800,1,8,4,0.71422,40,39
16,128,800,1,8,8,2.529339,39,39
16,128,800,1,8,16,6.996278,39,40
16,128,800,1,16,1,0.838853,40,39
16,128,800,1,16,2,0.654021,39,38
16,128,800,1,16,4,0.718679,38,38
16,128,800,1,16,8,3.626474,37,38
16,128,800,1,32,1,0.83487,38,37
16,128,800,1,32,2,0.658022,37,37
16,128,800,1,32,4,0.725143,36,36
16,128,800,1,64,1,0.823518,36,36
16,128,800,1,64,2,0.654286,36,36
16,128,800,2,1,1,0.857013,35,35
16,128,800,2,1,2,0.528418,35,35
16,128,800,2,1,4,0.588628,35,35
16,128,800,2,1,8,1.254361,35,35
16,128,800,2,1,16,6.336848,35,37
16,128,800,2,1,32,6.60501,37,39
16,128,800,2,1,64,7.389722,38,40
16,128,800,2,2,1,0.792409,39,39
16,128,800,2,2,2,0.515594,38,38
16,128,800,2,2,4,0.625291,37,37
16,128,800,2,2,8,1.525362,37,37
16,128,800,2,2,16,5.590564,37,39
16,128,800,2,2,32,7.495488,38,40
16,128,800,2,4,1,0.771833,40,39
16,128,800,2,4,2,0.578517,39,38
16,128,800,2,4,4,0.721591,38,38
16,128,800,2,4,8,1.48228,38,38
16,128,800,2,4,16,6.092895,38,39
16,128,800,2,8,1,0.784605,39,39
16,128,800,2,8,2,0.65561,38,38
16,128,800,2,8,4,0.704544,38,38
16,128,800,2,8,8,2.292319,38,38
16,128,800,2,16,1,0.837769,38,38
16,128,800,2,16,2,0.606065,38,38
16,128,800,2,16,4,0.717514,38,38
16,128,800,2,32,1,0.772204,38,37
16,128,800,2,32,2,0.630001,37,37
16,128,800,2,64,1,0.795325,37,37
16,128,800,4,1,1,0.784558,37,37
16,128,800,4,1,2,0.48929,37,37
16,128,800,4,1,4,0.564145,37,37
16,128,800,4,1,8,1.244994,37,38
16,128,800,4,1,16,6.348591,38,40
16,128,800,4,1,32,6.793622,39,41
16,128,800,4,2,1,0.731705,41,40
16,128,800,4,2,2,0.495806,40,39
16,128,800,4,2,4,0.701085,39,39
16,128,800,4,2,8,1.602319,39,39
16,128,800,4,2,16,5.755842,39,40
16,128,800,4,4,1,0.713696,40,39
16,128,800,4,4,2,0.55985,39,39
16,128,800,4,4,4,0.724251,39,39
16,128,800,4,4,8,1.685631,39,39
16,128,800,4,8,1,0.754941,39,39
16,128,800,4,8,2,0.657848,39,39
16,128,800,4,8,4,0.713638,39,39
16,128,800,4,16,1,0.835708,39,38
16,128,800,4,16,2,0.62262,38,38
16,128,800,4,32,1,0.78803,38,38
16,128,800,8,1,1,0.739884,38,38
16,128,800,8,1,2,0.472392,38,38
16,128,800,8,1,4,0.694885,38,38
16,128,800,8,1,8,1.265796,38,38
16,128,800,8,1,16,6.377507,38,40
16,128,800,8,2,1,0.689191,40,39
16,128,800,8,2,2,0.487987,39,39
16,128,800,8,2,4,0.705239,39,38
16,128,800,8,2,8,1.64826,38,39
16,128,800,8,4,1,0.681646,38,38
16,128,800,8,4,2,0.554184,38,38
16,128,800,8,4,4,0.72442,37,37
16,128,800,8,8,1,0.740784,37,37
16,128,800,8,8,2,0.660066,37,37
16,128,800,8,16,1,0.8385,37,36
16,128,800,16,1,1,0.72385,36,36
16,128,800,16,1,2,0.473709,36,36
16,128,800,16,1,4,0.725034,36,36
16,128,800,16,1,8,1.255738,36,36
16,128,800,16,2,1,0.669746,36,35
16,128,800,16,2,2,0.488473,35,35
16,128,800,16,2,4,0.708073,35,35
16,128,800,16,4,1,0.667707,35,35
16,128,800,16,4,2,0.553275,35,35
16,128,800,16,8,1,0.734794,35,35
16,128,800,32,1,1,0.724605,35,35
16,128,800,32,1,2,0.477164,35,35
16,128,800,32,1,4,0.6796,35,35
16,128,800,32,2,1,0.662538,35,35
16,128,800,32,2,2,0.487486,35,35
16,128,800,32,4,1,0.659948,35,35
16,128,800,64,1,1,0.726572,35,35
16,128,800,64,1,2,0.479494,35,35
16,128,800,64,2,1,0.662609,35,35
