so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
2,8,800,2,2,2,0.631387,31,32
2,16,800,2,2,4,0.315856,32,33
2,32,800,2,2,8,0.163421,33,33
2,64,800,2,2,16,0.126152,33,33
2,128,800,2,2,32,0.125447,33,33
2,256,800,2,2,64,0.124655,33,33
2,16,800,2,4,2,0.327421,34,34
2,32,800,2,4,4,0.17974,34,34
2,64,800,2,4,8,0.12851,34,34
2,128,800,2,4,16,0.126154,34,34
2,256,800,2,4,32,0.125278,34,35
2,512,800,2,4,64,0.124407,35,35
2,32,800,2,8,2,0.300152,35,35
2,64,800,2,8,4,0.160902,35,35
2,128,800,2,8,8,0.129869,35,35
2,256,800,2,8,16,0.126023,35,35
2,512,800,2,8,32,0.12505,35,35
2,1024,800,2,8,64,0.126339,35,36
2,64,800,2,16,2,0.27179,36,36
2,128,800,2,16,4,0.179849,36,36
2,256,800,2,16,8,0.129595,36,36
2,512,800,2,16,16,0.125791,36,36
2,1024,800,2,16,32,0.127198,36,36
2,128,800,2,32,2,0.30623,36,36
2,256,800,2,32,4,0.176633,36,36
2,512,800,2,32,8,0.128538,36,36
2,1024,800,2,32,16,0.130139,36,36
2,256,800,2,64,2,0.292154,36,37
2,512,800,2,64,4,0.174992,37,36
2,1024,800,2,64,8,0.139039,37,37
2,16,800,4,2,2,0.329646,37,37
2,32,800,4,2,4,0.18084,37,37
2,64,800,4,2,8,0.128214,37,37
2,128,800,4,2,16,0.118996,37,37
2,256,800,4,2,32,0.117072,37,37
2,512,800,4,2,64,0.116256,37,37
2,32,800,4,4,2,0.296089,37,37
2,64,800,4,4,4,0.159782,37,37
2,128,800,4,4,8,0.129439,37,37
2,256,800,4,4,16,0.118283,37,37
2,512,800,4,4,32,0.116607,37,37
2,1024,800,4,4,64,0.121387,37,37
2,64,800,4,8,2,0.257025,37,37
2,128,800,4,8,4,0.17386,37,37
2,256,800,4,8,8,0.127859,37,37
2,512,800,4,8,16,0.117605,37,37
2,1024,800,4,8,32,0.122175,37,37
2,128,800,4,16,2,0.296368,37,37
2,256,800,4,16,4,0.171892,37,37
2,512,800,4,16,8,0.124759,37,37
2,1024,800,4,16,16,0.125556,37,37
2,256,800,4,32,2,0.28924,37,37
2,512,800,4,32,4,0.166471,37,37
2,1024,800,4,32,8,0.133861,37,37
2,512,800,4,64,2,0.274151,37,37
2,1024,800,4,64,4,0.164266,37,37
2,32,800,8,2,2,0.501777,37,37
2,64,800,8,2,4,0.224546,37,37
2,128,800,8,2,8,0.13224,37,37
2,256,800,8,2,16,0.118708,37,37
2,512,800,8,2,32,0.115665,37,37
2,1024,800,8,2,64,0.122528,37,37
2,64,800,8,4,2,0.277873,37,37
2,128,800,8,4,4,0.175457,37,37
2,256,800,8,4,8,0.127768,37,37
2,512,800,8,4,16,0.118395,37,37
2,1024,800,8,4,32,0.12311,37,37
2,128,800,8,8,2,0.288185,37,37
2,256,800,8,8,4,0.16892,37,37
2,512,800,8,8,8,0.12574,37,36
2,1024,800,8,8,16,0.126847,37,37
2,256,800,8,16,2,0.292654,37,36
2,512,800,8,16,4,0.164344,36,36
2,1024,800,8,16,8,0.134136,36,36
2,512,800,8,32,2,0.278364,36,36
2,1024,800,8,32,4,0.161639,36,36
2,1024,800,8,64,2,0.267359,36,36
2,64,800,16,2,2,0.54096,36,36
2,128,800,16,2,4,0.268669,36,36
2,256,800,16,2,8,0.14637,36,36
2,512,800,16,2,16,0.118403,36,36
2,1024,800,16,2,32,0.12174,36,36
2,128,800,16,4,2,0.335728,36,36
2,256,800,16,4,4,0.17849,36,36
2,512,800,16,4,8,0.125397,36,36
2,1024,800,16,4,16,0.125615,36,36
2,256,800,16,8,2,0.284795,36,36
2,512,800,16,8,4,0.16388,36,36
2,1024,800,16,8,8,0.134029,36,36
2,512,800,16,16,2,0.278378,36,36
