so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
2,-1,800,-1,-1,-1,1.435918,61,61
2,128,800,2,2,2,0.522809,61,61
2,128,800,2,2,4,0.426708,60,61
2,128,800,2,2,8,0.474696,60,61
2,128,800,2,2,16,3.078712,60,61
2,128,800,2,2,32,4.179427,60,61
2,128,800,2,2,64,6.769351,60,62
2,128,800,2,4,2,0.484321,60,61
2,128,800,2,4,4,0.436432,60,61
2,128,800,2,4,8,0.518777,60,60
2,128,800,2,4,16,3.679878,60,61
2,128,800,2,4,32,4.748333,60,62
2,128,800,2,4,64,7.514318,60,62
2,128,800,2,8,2,0.487722,60,61
2,128,800,2,8,4,0.438699,60,60
2,128,800,2,8,8,0.514546,60,60
2,128,800,2,8,16,3.848437,60,61
2,128,800,2,8,32,4.808053,60,62
2,128,800,2,8,64,9.034589,60,62
2,128,800,2,16,2,0.477062,60,61
2,128,800,2,16,4,0.431006,60,60
2,128,800,2,16,8,0.534541,60,61
2,128,800,2,16,16,3.868361,60,61
2,128,800,2,16,32,4.894323,60,62
2,128,800,2,32,2,0.465189,60,61
2,128,800,2,32,4,0.444027,60,60
2,128,800,2,32,8,0.546222,60,61
2,128,800,2,32,16,3.792091,60,61
2,128,800,2,64,2,0.474671,60,60
2,128,800,2,64,4,0.453397,60,60
2,128,800,2,64,8,0.558144,60,60
2,128,800,4,2,2,0.470439,60,60
2,128,800,4,2,4,0.405465,60,60
2,128,800,4,2,8,0.475722,60,60
2,128,800,4,2,16,3.036019,60,61
2,128,800,4,2,32,4.289249,60,62
2,128,800,4,2,64,7.042274,60,62
2,128,800,4,4,2,0.449824,60,61
2,128,800,4,4,4,0.426029,60,60
2,128,800,4,4,8,0.524487,60,61
2,128,800,4,4,16,3.846054,60,61
2,128,800,4,4,32,4.811925,60,62
2,128,800,4,4,64,7.645039,60,62
2,128,800,4,8,2,0.468472,60,61
2,128,800,4,8,4,0.440459,60,60
2,128,800,4,8,8,0.534538,60,60
2,128,800,4,8,16,3.880317,60,61
2,128,800,4,8,32,4.846454,60,62
2,128,800,4,16,2,0.472826,60,61
2,128,800,4,16,4,0.442223,60,60
2,128,800,4,16,8,0.548213,60,61
2,128,800,4,16,16,3.904968,60,61
2,128,800,4,32,2,0.475011,60,61
2,128,800,4,32,4,0.452677,60,60
2,128,800,4,32,8,0.559844,60,60
2,128,800,4,64,2,0.48274,60,61
2,128,800,4,64,4,0.462772,60,61
2,128,800,8,2,2,0.44294,60,61
2,128,800,8,2,4,0.399935,60,60
2,128,800,8,2,8,0.483639,60,60
2,128,800,8,2,16,3.015056,60,61
2,128,800,8,2,32,4.347602,60,62
2,128,800,8,2,64,7.108518,60,62
2,128,800,8,4,2,0.431204,60,61
2,128,800,8,4,4,0.426013,60,60
2,128,800,8,4,8,0.533025,60,61
2,128,800,8,4,16,3.894667,60,61
2,128,800,8,4,32,4.831584,61,62
2,128,800,8,8,2,0.462454,60,60
2,128,800,8,8,4,0.444504,60,60
2,128,800,8,8,8,0.549731,60,60
2,128,800,8,8,16,3.893683,60,61
2,128,800,8,16,2,0.47391,60,60
2,128,800,8,16,4,0.452178,60,60
2,128,800,8,16,8,0.561562,60,60
2,128,800,8,32,2,0.485182,60,60
2,128,800,8,32,4,0.46322,60,60
2,128,800,8,64,2,0.497693,60,60
2,128,800,16,2,2,0.425988,60,60
2,128,800,16,2,4,0.398364,60,60
2,128,800,16,2,8,0.496717,60,60
2,128,800,16,2,16,3.027141,60,60
2,128,800,16,2,32,4.360119,60,61
2,128,800,16,4,2,0.422326,60,61
2,128,800,16,4,4,0.431757,60,60
2,128,800,16,4,8,0.54523,60,60
2,128,800,16,4,16,3.899805,60,61
2,128,800,16,8,2,0.466479,60,60
2,128,800,16,8,4,0.452817,60,60
2,128,800,16,8,8,0.561712,60,60
2,128,800,16,16,2,0.484121,60,60
2,128,800,16,16,4,0.461498,60,60
2,128,800,16,32,2,0.497859,60,60
2,128,800,32,2,2,0.418046,60,60
2,128,800,32,2,4,0.402757,60,60
2,128,800,32,2,8,0.510976,59,60
2,128,800,32,2,16,3.072277,59,60
2,128,800,32,4,2,0.42309,60,60
2,128,800,32,4,4,0.439468,60,60
2,128,800,32,4,8,0.555374,60,60
2,128,800,32,8,2,0.474791,60,60
2,128,800,32,8,4,0.460095,60,60
2,128,800,32,16,2,0.495412,59,60
2,128,800,64,2,2,0.417826,59,60
2,128,800,64,2,4,0.41215,59,59
2,128,800,64,2,8,0.529472,59,59
2,128,800,64,4,2,0.430997,59,59
2,128,800,64,4,4,0.452488,59,59
2,128,800,64,8,2,0.491215,59,59
2,256,800,2,2,2,0.522609,59,59
2,256,800,2,2,4,0.426465,59,59
2,256,800,2,2,8,0.474611,59,59
2,256,800,2,2,16,3.079536,59,60
2,256,800,2,2,32,4.17923,60,61
2,256,800,2,2,64,6.76239,60,62
2,256,800,2,4,2,0.484877,61,61
2,256,800,2,4,4,0.436433,60,60
2,256,800,2,4,8,0.518924,60,60
2,256,800,2,4,16,3.681757,60,61
2,256,800,2,4,32,4.746858,60,62
2,256,800,2,4,64,7.504323,60,62
2,256,800,2,8,2,0.487755,60,61
2,256,800,2,8,4,0.439146,60,60
2,256,800,2,8,8,0.514122,60,60
2,256,800,2,8,16,3.844864,60,61
2,256,800,2,8,32,4.809253,60,62
2,256,800,2,8,64,9.043937,60,62
2,256,800,2,16,2,0.477491,60,61
2,256,800,2,16,4,0.430991,60,61
2,256,800,2,16,8,0.534185,60,61
2,256,800,2,16,16,3.866475,60,61
2,256,800,2,16,32,4.891454,60,62
2,256,800,2,32,2,-1.0,60,60
2,256,800,2,32,4,-1.0,60,60
2,256,800,2,32,8,-1.0,60,59
2,256,800,2,32,16,-1.0,59,60
2,256,800,2,64,2,-1.0,59,59
2,256,800,2,64,4,-1.0,59,59
2,256,800,2,64,8,-1.0,58,58
2,256,800,4,2,2,-1.0,58,58
2,256,800,4,2,4,-1.0,58,58
2,256,800,4,2,8,-1.0,58,58
2,256,800,4,2,16,-1.0,58,58
2,256,800,4,2,32,-1.0,58,58
2,256,800,4,2,64,-1.0,58,58
2,256,800,4,4,2,-1.0,58,58
2,256,800,4,4,4,-1.0,58,58
2,256,800,4,4,8,-1.0,57,57
2,256,800,4,4,16,-1.0,57,57
2,256,800,4,4,32,-1.0,57,57
2,256,800,4,4,64,-1.0,57,57
2,256,800,4,8,2,-1.0,57,57
2,256,800,4,8,4,-1.0,57,57
2,256,800,4,8,8,-1.0,57,57
2,256,800,4,8,16,-1.0,56,56
2,256,800,4,8,32,-1.0,56,56
2,256,800,4,16,2,-1.0,56,56
2,256,800,4,16,4,-1.0,56,57
2,256,800,4,16,8,-1.0,56,56
2,256,800,4,16,16,-1.0,56,56
2,256,800,4,32,2,-1.0,56,56
2,256,800,4,32,4,0.452446,56,57
2,256,800,4,32,8,0.559608,56,57
2,256,800,4,64,2,0.482734,57,57
2,256,800,4,64,4,0.462507,57,57
2,256,800,8,2,2,0.443014,57,57
2,256,800,8,2,4,0.399612,57,57
2,256,800,8,2,8,0.483571,57,57
2,256,800,8,2,16,3.012242,57,58
2,256,800,8,2,32,4.339038,58,60
2,256,800,8,2,64,7.121917,59,61
2,256,800,8,4,2,0.431403,60,60
2,256,800,8,4,4,0.426162,60,60
2,256,800,8,4,8,0.533078,60,60
2,256,800,8,4,16,3.893165,60,61
2,256,800,8,4,32,4.831517,60,62
2,256,800,8,8,2,0.462459,60,60
2,256,800,8,8,4,0.444357,60,60
2,256,800,8,8,8,0.549782,60,60
2,256,800,8,8,16,3.889004,60,61
2,256,800,8,16,2,0.473774,60,61
2,256,800,8,16,4,0.451963,60,61
2,256,800,8,16,8,0.561554,60,61
2,256,800,8,32,2,0.485008,60,61
2,256,800,8,32,4,0.462726,60,60
2,256,800,8,64,2,0.49776,60,60
2,256,800,16,2,2,0.42599,60,60
2,256,800,16,2,4,0.398378,60,60
2,256,800,16,2,8,0.496595,60,60
2,256,800,16,2,16,3.023509,60,61
2,256,800,16,2,32,4.361673,60,62
2,256,800,16,4,2,0.422485,60,61
2,256,800,16,4,4,0.431894,60,60
2,256,800,16,4,8,0.544928,60,60
2,256,800,16,4,16,3.899447,60,61
2,256,800,16,8,2,0.466389,60,60
2,256,800,16,8,4,0.452709,60,60
2,256,800,16,8,8,0.561708,60,60
2,256,800,16,16,2,0.483981,60,60
2,256,800,16,16,4,0.4615,60,60
2,256,800,16,32,2,0.498137,60,60
2,256,800,32,2,2,0.417731,60,60
2,256,800,32,2,4,0.402753,60,60
2,256,800,32,2,8,0.510944,60,60
2,256,800,32,2,16,3.076598,60,61
2,256,800,32,4,2,0.422819,60,60
2,256,800,32,4,4,0.439504,60,60
2,256,800,32,4,8,0.555377,60,60
2,256,800,32,8,2,0.474788,60,60
2,256,800,32,8,4,0.460035,60,60
2,256,800,32,16,2,0.495385,60,60
2,256,800,64,2,2,0.417844,60,60
2,256,800,64,2,4,0.411973,60,60
2,256,800,64,2,8,0.52868,60,60
2,256,800,64,4,2,0.431198,60,60
2,256,800,64,4,4,0.452463,60,60
2,256,800,64,8,2,0.491091,60,60
2,512,800,2,2,2,0.522595,60,60
2,512,800,2,2,4,0.426291,60,60
2,512,800,2,2,8,0.474902,60,60
2,512,800,2,2,16,3.07698,60,61
2,512,800,2,2,32,4.177045,60,62
2,512,800,2,2,64,6.753855,60,62
2,512,800,2,4,2,0.484532,60,61
2,512,800,2,4,4,0.436308,60,60
2,512,800,2,4,8,0.518879,60,61
2,512,800,2,4,16,3.681257,60,61
2,512,800,2,4,32,4.746248,60,62
2,512,800,2,4,64,7.528128,60,62
2,512,800,2,8,2,0.487703,60,60
2,512,800,2,8,4,0.438604,60,60
2,512,800,2,8,8,0.514136,60,60
2,512,800,2,8,16,3.84504,60,61
2,512,800,2,8,32,4.807523,60,62
2,512,800,2,8,64,9.019972,60,62
2,512,800,2,16,2,0.477349,60,61
2,512,800,2,16,4,0.430999,60,60
2,512,800,2,16,8,0.534342,60,61
2,512,800,2,16,16,3.868554,60,61
2,512,800,2,16,32,4.887316,60,62
2,512,800,2,32,2,0.465167,60,61
2,512,800,2,32,4,0.444152,60,61
2,512,800,2,32,8,0.545964,60,60
2,512,800,2,32,16,3.795285,60,61
2,512,800,2,64,2,0.474595,60,61
2,512,800,2,64,4,0.453318,60,61
2,512,800,2,64,8,0.558723,60,61
2,512,800,4,2,2,0.470007,60,60
2,512,800,4,2,4,0.405941,60,60
2,512,800,4,2,8,0.475398,60,60
2,512,800,4,2,16,3.038997,60,61
2,512,800,4,2,32,4.287139,60,62
2,512,800,4,2,64,7.050742,60,62
2,512,800,4,4,2,0.449373,60,61
2,512,800,4,4,4,0.426179,60,60
2,512,800,4,4,8,0.524172,60,61
2,512,800,4,4,16,3.844632,60,61
2,512,800,4,4,32,4.812897,60,62
2,512,800,4,4,64,7.645064,60,62
2,512,800,4,8,2,0.468331,60,61
2,512,800,4,8,4,0.440114,60,60
2,512,800,4,8,8,0.535319,60,60
2,512,800,4,8,16,3.879195,60,61
2,512,800,4,8,32,4.845894,60,62
2,512,800,4,16,2,0.472664,61,61
2,512,800,4,16,4,0.441917,60,60
2,512,800,4,16,8,0.548438,60,60
2,512,800,4,16,16,3.904693,60,61
2,512,800,4,32,2,0.474809,60,61
2,512,800,4,32,4,0.452485,60,60
2,512,800,4,32,8,0.559585,60,60
2,512,800,4,64,2,0.482858,60,60
2,512,800,4,64,4,0.462733,60,60
2,512,800,8,2,2,0.442611,60,60
2,512,800,8,2,4,0.399048,60,60
2,512,800,8,2,8,0.484051,60,60
2,512,800,8,2,16,3.015184,60,61
2,512,800,8,2,32,4.341162,60,62
2,512,800,8,2,64,7.115666,60,62
2,512,800,8,4,2,0.431731,60,61
2,512,800,8,4,4,0.42604,60,60
2,512,800,8,4,8,0.5331,60,60
2,512,800,8,4,16,3.892634,60,61
2,512,800,8,4,32,4.831142,60,62
2,512,800,8,8,2,0.462417,60,61
2,512,800,8,8,4,0.444368,60,60
2,512,800,8,8,8,0.549591,60,60
2,512,800,8,8,16,3.889772,60,61
2,512,800,8,16,2,0.473726,60,61
2,512,800,8,16,4,0.452104,60,61
2,512,800,8,16,8,0.561462,60,60
2,512,800,8,32,2,0.485102,60,60
2,512,800,8,32,4,0.462875,60,60
2,512,800,8,64,2,0.49759,60,60
2,512,800,16,2,2,0.425972,60,60
2,512,800,16,2,4,0.397999,60,60
2,512,800,16,2,8,0.496597,60,60
2,512,800,16,2,16,3.032575,60,61
2,512,800,16,2,32,4.361206,60,62
2,512,800,16,4,2,0.422296,60,61
2,512,800,16,4,4,0.431322,60,60
2,512,800,16,4,8,0.544641,60,61
2,512,800,16,4,16,3.900574,60,61
2,512,800,16,8,2,0.466359,60,61
2,512,800,16,8,4,0.452849,60,60
2,512,800,16,8,8,0.56186,60,60
2,512,800,16,16,2,0.484054,60,60
2,512,800,16,16,4,0.461163,60,60
2,512,800,16,32,2,0.498088,60,60
2,512,800,32,2,2,0.417518,60,60
2,512,800,32,2,4,0.402881,60,60
2,512,800,32,2,8,0.511001,60,60
2,512,800,32,2,16,3.068967,60,61
2,512,800,32,4,2,0.422951,60,60
2,512,800,32,4,4,0.439495,60,60
2,512,800,32,4,8,0.555537,60,60
2,512,800,32,8,2,0.474733,60,60
2,512,800,32,8,4,0.460014,60,60
2,512,800,32,16,2,0.495067,60,60
2,512,800,64,2,2,0.417964,60,60
2,512,800,64,2,4,0.411578,60,60
2,512,800,64,2,8,0.529696,60,60
2,512,800,64,4,2,0.430924,60,60
2,512,800,64,4,4,0.452069,60,60
2,512,800,64,8,2,0.490865,60,60
2,1024,800,2,2,2,0.522807,60,60
2,1024,800,2,2,4,0.426196,60,60
2,1024,800,2,2,8,0.475181,60,60
2,1024,800,2,2,16,3.079187,60,61
2,1024,800,2,2,32,4.177905,60,62
2,1024,800,2,2,64,6.772473,60,62
2,1024,800,2,4,2,0.484608,60,61
2,1024,800,2,4,4,0.436243,60,60
2,1024,800,2,4,8,0.518825,60,60
2,1024,800,2,4,16,3.683488,60,61
2,1024,800,2,4,32,4.745611,60,62
2,1024,800,2,4,64,7.51325,60,62
2,1024,800,2,8,2,0.487731,61,61
2,1024,800,2,8,4,0.438889,60,61
2,1024,800,2,8,8,0.51479,60,60
2,1024,800,2,8,16,3.845539,60,61
2,1024,800,2,8,32,4.808861,60,62
2,1024,800,2,8,64,9.018878,60,63
2,1024,800,2,16,2,0.477157,60,60
2,1024,800,2,16,4,0.43077,60,60
2,1024,800,2,16,8,0.533905,60,60
2,1024,800,2,16,16,3.867493,60,61
2,1024,800,2,16,32,4.893319,60,62
2,1024,800,2,32,2,0.465281,60,61
2,1024,800,2,32,4,0.443861,60,61
2,1024,800,2,32,8,0.545862,60,60
2,1024,800,2,32,16,3.793111,60,61
2,1024,800,2,64,2,0.474535,60,61
2,1024,800,2,64,4,0.453228,60,60
2,1024,800,2,64,8,0.558606,60,60
2,1024,800,4,2,2,0.47017,60,60
2,1024,800,4,2,4,0.405784,60,60
2,1024,800,4,2,8,0.47509,60,60
2,1024,800,4,2,16,3.03893,60,61
2,1024,800,4,2,32,4.287881,60,62
2,1024,800,4,2,64,7.047112,60,62
2,1024,800,4,4,2,0.449624,60,61
2,1024,800,4,4,4,0.426239,60,60
2,1024,800,4,4,8,0.524251,60,60
2,1024,800,4,4,16,3.845201,60,61
2,1024,800,4,4,32,4.811959,60,62
2,1024,800,4,4,64,7.631637,60,62
2,1024,800,4,8,2,0.468431,60,60
2,1024,800,4,8,4,0.440092,60,60
2,1024,800,4,8,8,0.534494,60,60
2,1024,800,4,8,16,3.882792,60,61
2,1024,800,4,8,32,4.846489,60,62
2,1024,800,4,16,2,0.472684,60,61
2,1024,800,4,16,4,0.442401,60,60
2,1024,800,4,16,8,0.547892,60,60
2,1024,800,4,16,16,3.906057,60,61
2,1024,800,4,32,2,0.474823,60,61
2,1024,800,4,32,4,0.452547,60,60
2,1024,800,4,32,8,0.559687,60,60
2,1024,800,4,64,2,0.482505,60,60
2,1024,800,4,64,4,0.46242,60,60
2,1024,800,8,2,2,0.442809,60,60
2,1024,800,8,2,4,0.399327,60,60
2,1024,800,8,2,8,0.48393,60,60
2,1024,800,8,2,16,3.016284,60,61
2,1024,800,8,2,32,4.342981,60,62
2,1024,800,8,2,64,7.113,60,62
2,1024,800,8,4,2,0.431798,60,61
2,1024,800,8,4,4,0.426119,60,60
2,1024,800,8,4,8,0.533092,60,60
2,1024,800,8,4,16,3.892731,60,61
2,1024,800,8,4,32,4.831975,60,62
2,1024,800,8,8,2,0.461877,60,60
2,1024,800,8,8,4,0.444314,60,60
2,1024,800,8,8,8,0.54981,60,61
2,1024,800,8,8,16,3.891162,60,61
2,1024,800,8,16,2,0.473608,60,61
2,1024,800,8,16,4,0.45207,60,61
2,1024,800,8,16,8,0.561339,60,61
2,1024,800,8,32,2,0.485078,60,61
2,1024,800,8,32,4,0.463187,60,60
2,1024,800,8,64,2,0.497913,60,60
2,1024,800,16,2,2,0.425568,60,60
2,1024,800,16,2,4,0.398035,60,60
2,1024,800,16,2,8,0.496452,60,60
2,1024,800,16,2,16,3.025989,60,61
2,1024,800,16,2,32,4.359028,60,62
2,1024,800,16,4,2,0.422292,60,61
2,1024,800,16,4,4,0.431842,60,60
2,1024,800,16,4,8,0.544631,60,61
2,1024,800,16,4,16,3.898305,60,61
2,1024,800,16,8,2,0.466548,60,61
2,1024,800,16,8,4,0.452597,60,61
2,1024,800,16,8,8,0.561578,60,60
2,1024,800,16,16,2,0.484329,60,61
2,1024,800,16,16,4,0.461371,60,61
2,1024,800,16,32,2,0.498174,60,60
2,1024,800,32,2,2,0.417654,60,60
2,1024,800,32,2,4,0.402987,60,60
2,1024,800,32,2,8,0.510643,60,60
2,1024,800,32,2,16,3.06947,60,61
2,1024,800,32,4,2,0.423125,60,61
2,1024,800,32,4,4,0.439245,60,60
2,1024,800,32,4,8,0.555509,60,60
2,1024,800,32,8,2,0.474912,60,60
2,1024,800,32,8,4,0.460317,60,60
2,1024,800,32,16,2,0.495011,60,60
2,1024,800,64,2,2,0.41787,60,60
2,1024,800,64,2,4,0.411624,60,60
2,1024,800,64,2,8,0.529066,60,60
2,1024,800,64,4,2,0.431335,60,60
2,1024,800,64,4,4,0.452451,60,60
2,1024,800,64,8,2,0.490576,60,60
4,-1,800,-1,-1,-1,1.501627,60,61
4,128,800,2,2,2,0.495688,60,61
4,128,800,2,2,4,0.425545,60,60
4,128,800,2,2,8,0.700797,60,61
4,128,800,2,2,16,4.901746,60,62
4,128,800,2,2,32,5.599526,60,63
4,128,800,2,2,64,8.772009,60,63
4,128,800,2,4,2,0.475146,60,61
4,128,800,2,4,4,0.46797,60,61
4,128,800,2,4,8,1.009724,60,61
4,128,800,2,4,16,5.451652,60,62
4,128,800,2,4,32,6.570333,60,63
4,128,800,2,4,64,9.721427,60,63
4,128,800,2,8,2,0.500833,60,61
4,128,800,2,8,4,0.475651,60,61
4,128,800,2,8,8,1.130551,60,61
4,128,800,2,8,16,6.02956,60,62
4,128,800,2,8,32,6.983747,60,63
4,128,800,2,8,64,11.917197,60,64
4,128,800,2,16,2,0.489166,60,61
4,128,800,2,16,4,0.459816,60,61
4,128,800,2,16,8,1.261678,60,61
4,128,800,2,16,16,6.097337,60,62
4,128,800,2,16,32,7.025672,60,63
4,128,800,2,32,2,0.470024,60,61
4,128,800,2,32,4,0.476268,60,60
4,128,800,2,32,8,1.220441,60,61
4,128,800,2,32,16,6.069393,60,62
4,128,800,2,64,2,0.485631,60,61
4,128,800,2,64,4,0.487224,60,61
4,128,800,2,64,8,1.237069,60,61
4,128,800,4,2,2,0.437419,60,61
4,128,800,4,2,4,0.413272,60,61
4,128,800,4,2,8,0.680345,60,61
4,128,800,4,2,16,4.889282,60,62
4,128,800,4,2,32,5.73036,60,63
4,128,800,4,2,64,9.375002,60,63
4,128,800,4,4,2,0.443402,60,61
4,128,800,4,4,4,0.457899,60,61
4,128,800,4,4,8,0.979538,60,61
4,128,800,4,4,16,5.594856,60,62
4,128,800,4,4,32,6.764429,60,63
4,128,800,4,4,64,10.098336,60,64
4,128,800,4,8,2,0.483064,60,61
4,128,800,4,8,4,0.475612,60,60
4,128,800,4,8,8,1.186722,60,61
4,128,800,4,8,16,6.203622,60,62
4,128,800,4,8,32,7.228949,60,63
4,128,800,4,16,2,0.484271,60,61
4,128,800,4,16,4,0.473868,60,60
4,128,800,4,16,8,1.29418,60,61
4,128,800,4,16,16,6.314235,60,62
4,128,800,4,32,2,0.485571,60,61
4,128,800,4,32,4,0.483426,60,61
4,128,800,4,32,8,1.277936,60,61
4,128,800,4,64,2,0.492425,60,60
4,128,800,4,64,4,0.497349,60,60
4,128,800,8,2,2,0.40579,60,60
4,128,800,8,2,4,0.405358,60,60
4,128,800,8,2,8,0.71614,60,60
4,128,800,8,2,16,4.869943,60,62
4,128,800,8,2,32,5.918522,60,62
4,128,800,8,2,64,9.788442,60,63
4,128,800,8,4,2,0.425419,60,61
4,128,800,8,4,4,0.45762,60,60
4,128,800,8,4,8,0.991324,60,61
4,128,800,8,4,16,5.787604,60,62
4,128,800,8,4,32,6.845931,60,63
4,128,800,8,8,2,0.479897,60,61
4,128,800,8,8,4,0.479352,60,60
4,128,800,8,8,8,1.276582,60,61
4,128,800,8,8,16,6.275241,60,62
4,128,800,8,16,2,0.487825,60,61
4,128,800,8,16,4,0.485964,60,60
4,128,800,8,16,8,1.374148,60,61
4,128,800,8,32,2,0.494599,60,60
4,128,800,8,32,4,0.498778,60,60
4,128,800,8,64,2,0.512665,60,60
4,128,800,16,2,2,0.392494,60,60
4,128,800,16,2,4,0.403613,60,60
4,128,800,16,2,8,0.736479,60,61
4,128,800,16,2,16,4.889222,60,62
4,128,800,16,2,32,6.05173,60,63
4,128,800,16,4,2,0.418364,60,61
4,128,800,16,4,4,0.46143,60,60
4,128,800,16,4,8,1.041483,60,61
4,128,800,16,4,16,5.843284,60,62
4,128,800,16,8,2,0.483688,60,61
4,128,800,16,8,4,0.489234,60,61
4,128,800,16,8,8,1.338541,60,61
4,128,800,16,16,2,0.499911,60,61
4,128,800,16,16,4,0.498175,60,61
4,128,800,16,32,2,0.512498,60,61
4,128,800,32,2,2,0.387719,60,60
4,128,800,32,2,4,0.409518,60,60
4,128,800,32,2,8,0.767084,60,61
4,128,800,32,2,16,4.903948,60,62
4,128,800,32,4,2,0.423537,60,61
4,128,800,32,4,4,0.469158,60,60
4,128,800,32,4,8,1.095605,60,61
4,128,800,32,8,2,0.492898,60,60
4,128,800,32,8,4,0.496472,60,60
4,128,800,32,16,2,0.5104,60,60
4,128,800,64,2,2,0.393549,60,60
4,128,800,64,2,4,0.426185,60,60
4,128,800,64,2,8,0.810127,60,61
4,128,800,64,4,2,0.441711,60,60
4,128,800,64,4,4,0.481371,60,61
4,128,800,64,8,2,0.507784,60,60
4,256,800,2,2,2,0.495462,60,61
4,256,800,2,2,4,0.432456,60,61
4,256,800,2,2,8,0.700927,60,61
4,256,800,2,2,16,4.901856,60,62
4,256,800,2,2,32,5.601136,60,63
4,256,800,2,2,64,8.759143,60,63
4,256,800,2,4,2,0.475176,60,61
4,256,800,2,4,4,0.468225,60,61
4,256,800,2,4,8,1.007524,60,61
4,256,800,2,4,16,5.449409,60,62
4,256,800,2,4,32,6.573338,60,63
4,256,800,2,4,64,9.705679,60,64
4,256,800,2,8,2,0.500903,60,61
4,256,800,2,8,4,0.475678,60,61
