so,limit,size,x,y,z,execution time, begin temperature,end temperature
4,256,336,4,8,32,2.87,45,47
4,256,336,4,4,32,2.83,47,48
4,256,336,4,2,32,3.33,48,50
4,256,336,8,16,8,3.07,49,51
4,256,336,8,16,16,2.92,51,52
4,512,336,8,8,16,3.31,52,53
4,256,336,8,8,16,2.99,53,54
4,256,336,8,4,32,2.85,54,55
4,256,336,8,8,32,2.85,54,56
4,512,336,8,4,32,3.12,55,57
4,256,336,8,8,8,3.13,56,57
4,256,336,16,4,32,2.59,57,58
4,256,336,16,8,16,2.90,57,58
4,256,336,16,16,8,3.12,58,59
4,512,336,16,16,8,3.19,59,60
4,256,560,4,8,32,10.41,60,64
4,256,560,4,4,32,10.22,60,66
4,256,560,4,2,32,11.32,60,66
4,256,560,8,16,8,10.42,60,66
4,256,560,8,16,16,9.81,60,65
4,512,560,8,8,16,10.85,60,66
4,256,560,8,8,16,9.81,60,66
4,256,560,8,4,32,10.36,60,65
4,256,560,8,8,32,9.29,60,65
4,512,560,8,4,32,10.98,60,65
4,256,560,8,8,8,10.81,60,66
4,256,560,16,4,32,9.30,60,65
4,256,560,16,8,16,9.72,60,65
4,256,560,16,16,8,10.34,60,66
4,512,560,16,16,8,10.70,60,66
4,256,720,4,8,32,18.11,60,69
4,256,720,4,4,32,19.24,60,70
4,256,720,4,2,32,22.13,60,71
4,256,720,8,16,8,20.71,60,70
4,256,720,8,16,16,19.84,60,69
4,512,720,8,8,16,20.12,60,70
4,256,720,8,8,16,19.54,60,70
4,256,720,8,4,32,18.87,60,69
4,256,720,8,8,32,17.99,60,69
4,512,720,8,4,32,20.01,60,70
4,256,720,8,8,8,21.31,60,70
4,256,720,16,4,32,19.69,60,69
4,256,720,16,8,16,18.87,60,69
4,256,720,16,16,8,20.09,60,70
4,512,720,16,16,8,20.74,60,70
8,256,336,4,8,32,3.65,60,63
8,256,336,4,4,32,3.62,60,63
8,256,336,4,2,32,4.28,60,63
8,256,336,8,16,8,4.01,60,63
8,256,336,8,16,16,3.80,60,63
8,512,336,8,8,16,3.74,60,63
8,256,336,8,8,16,3.67,60,63
8,256,336,8,4,32,3.48,60,62
8,256,336,8,8,32,3.64,60,62
8,512,336,8,4,32,3.67,60,62
8,256,336,8,8,8,3.82,61,63
8,256,336,16,4,32,3.29,60,62
8,256,336,16,8,16,3.89,60,63
8,256,336,16,16,8,4.35,60,63
8,512,336,16,16,8,3.83,60,63
8,256,560,4,8,32,12.65,60,67
8,256,560,4,4,32,12.78,60,67
8,256,560,4,2,32,14.42,60,68
8,256,560,8,16,8,13.63,60,67
8,256,560,8,16,16,13.24,60,67
8,512,560,8,8,16,13.35,60,67
8,256,560,8,8,16,12.35,60,67
8,256,560,8,4,32,11.71,60,66
8,256,560,8,8,32,12.03,60,67
8,512,560,8,4,32,12.55,60,67
8,256,560,8,8,8,13.68,61,68
8,256,560,16,4,32,11.39,60,66
8,256,560,16,8,16,12.17,60,67
8,256,560,16,16,8,13.59,60,67
8,512,560,16,16,8,13.03,60,67
8,256,720,4,8,32,24.87,60,72
8,256,720,4,4,32,24.89,60,72
8,256,720,4,2,32,27.98,60,74
8,256,720,8,16,8,26.79,60,73
8,256,720,8,16,16,25.52,60,73
8,512,720,8,8,16,25.19,60,73
8,256,720,8,8,16,24.26,60,72
8,256,720,8,4,32,22.95,60,71
8,256,720,8,8,32,23.52,60,71
8,512,720,8,4,32,23.37,60,72
8,256,720,8,8,8,26.15,60,73
8,256,720,16,4,32,21.85,60,71
8,256,720,16,8,16,23.48,60,71
8,256,720,16,16,8,26.32,60,73
8,512,720,16,16,8,25.19,60,72
16,256,336,4,8,32,5.50,61,64
16,256,336,4,4,32,4.83,60,63
16,256,336,4,2,32,5.27,60,63
16,256,336,8,16,8,5.12,60,64
16,256,336,8,16,16,6.78,60,64
16,512,336,8,8,16,4.80,60,63
16,256,336,8,8,16,4.71,60,63
16,256,336,8,4,32,4.48,60,63
16,256,336,8,8,32,5.76,60,64
16,512,336,8,4,32,4.69,60,63
16,256,336,8,8,8,4.97,60,63
16,256,336,16,4,32,4.25,60,63
16,256,336,16,8,16,4.74,60,63
16,256,336,16,16,8,5.03,60,63
16,512,336,16,16,8,5.10,60,63
16,256,560,4,8,32,18.03,60,69
16,256,560,4,4,32,16.57,60,69
16,256,560,4,2,32,17.97,60,70
16,256,560,8,16,8,17.71,60,69
16,256,560,8,16,16,22.30,60,71
16,512,560,8,8,16,16.98,60,69
16,256,560,8,8,16,16.09,60,69
16,256,560,8,4,32,15.25,60,69
16,256,560,8,8,32,18.55,60,70
16,512,560,8,4,32,16.31,60,68
16,256,560,8,8,8,17.77,60,70
16,256,560,16,4,32,15.21,60,68
16,256,560,16,8,16,15.65,60,68
16,256,560,16,16,8,18.05,60,69
16,512,560,16,16,8,17.34,61,69
16,256,720,4,8,32,35.18,60,76
16,256,720,4,4,32,32.01,60,75
16,256,720,4,2,32,34.07,60,76
16,256,720,8,16,8,34.27,60,76
16,256,720,8,16,16,42.02,60,78
16,512,720,8,8,16,31.80,60,75
16,256,720,8,8,16,29.86,60,75
16,256,720,8,4,32,29.05,60,74
16,256,720,8,8,32,34.92,60,76
16,512,720,8,4,32,30.72,60,75
16,256,720,8,8,8,34.57,60,76
16,256,720,16,4,32,27.93,60,73
16,256,720,16,8,16,30.70,60,74
16,256,720,16,16,8,33.58,60,75
16,512,720,16,16,8,33.23,60,75
