so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
2,-1,800,-1,-1,-1,1.435087,45,47
4,-1,800,-1,-1,-1,1.501234,46,48
8,-1,800,-1,-1,-1,2.275408,48,49
16,-1,800,-1,-1,-1,2.609174,49,50
2,-1,800,-1,-1,-1,1.435265,47,49
4,-1,800,-1,-1,-1,1.501338,49,50
8,-1,800,-1,-1,-1,2.274894,49,51
16,-1,800,-1,-1,-1,2.609278,51,52
2,-1,800,-1,-1,-1,1.434887,51,52
4,-1,800,-1,-1,-1,1.502083,52,53
8,-1,800,-1,-1,-1,2.275317,53,54
16,-1,800,-1,-1,-1,2.61372,54,55
2,128,800,2,2,2,17.062046,55,61
