so,thread_limit,size,x,y,z,execution time,begin temperature,end temperature
2,-1,800,-1,-1,-1,1.43582,60,61
2,128,800,2,2,2,36.4872,61,70
2,128,800,2,2,4,19.140805,60,65
2,128,800,2,2,8,9.692784,60,63
2,128,800,2,2,16,5.067469,60,62
2,128,800,2,2,32,2.566563,60,61
2,128,800,2,2,64,1.313395,60,61
2,128,800,2,4,2,19.257176,60,65
2,128,800,2,4,4,9.891989,60,63
2,128,800,2,4,8,5.03139,60,62
2,128,800,2,4,16,2.619193,60,61
2,128,800,2,4,32,1.35911,60,61
2,128,800,2,4,64,0.859865,60,61
2,128,800,2,8,2,9.921247,60,63
2,128,800,2,8,4,5.128304,60,62
2,128,800,2,8,8,2.634838,60,61
2,128,800,2,8,16,1.399496,60,61
2,128,800,2,8,32,0.888801,60,61
2,128,800,2,8,64,0.653113,60,61
2,128,800,2,16,2,5.167921,60,62
2,128,800,2,16,4,2.711013,60,61
2,128,800,2,16,8,1.429945,60,61
2,128,800,2,16,16,0.931898,60,61
2,128,800,2,16,32,0.667541,60,60
2,128,800,2,32,2,2.792848,60,61
2,128,800,2,32,4,1.498822,60,61
2,128,800,2,32,8,0.982497,60,61
2,128,800,2,32,16,0.701846,60,61
2,128,800,2,64,2,1.584526,60,61
2,128,800,2,64,4,1.029575,60,61
2,128,800,2,64,8,0.744054,60,60
2,128,800,4,2,2,18.871752,60,65
2,128,800,4,2,4,9.923554,60,63
2,128,800,4,2,8,5.039292,60,62
2,128,800,4,2,16,2.646664,60,61
2,128,800,4,2,32,1.369849,60,61
2,128,800,4,2,64,0.894239,60,61
2,128,800,4,4,2,10.048433,60,63
2,128,800,4,4,4,5.168406,60,62
2,128,800,4,4,8,2.653827,60,61
2,128,800,4,4,16,1.414097,60,61
2,128,800,4,4,32,0.927549,60,60
2,128,800,4,4,64,0.661705,60,60
2,128,800,4,8,2,5.207955,60,62
2,128,800,4,8,4,2.725361,60,61
2,128,800,4,8,8,1.443424,60,61
2,128,800,4,8,16,0.958001,60,61
2,128,800,4,8,32,0.699648,60,61
2,128,800,4,16,2,2.771404,60,61
2,128,800,4,16,4,1.493308,60,61
2,128,800,4,16,8,0.981853,60,61
2,128,800,4,16,16,0.727185,60,61
2,128,800,4,32,2,1.584178,60,61
2,128,800,4,32,4,1.035882,60,61
2,128,800,4,32,8,0.769226,60,61
2,128,800,4,64,2,1.088672,60,61
2,128,800,4,64,4,0.809849,60,61
2,128,800,8,2,2,9.875421,60,63
2,128,800,8,2,4,5.171068,60,62
2,128,800,8,2,8,2.652984,60,61
2,128,800,8,2,16,1.428026,60,61
2,128,800,8,2,32,0.948056,60,61
2,128,800,8,2,64,0.696549,60,60
2,128,800,8,4,2,5.256208,60,62
2,128,800,8,4,4,2.748097,60,61
2,128,800,8,4,8,1.46216,60,61
2,128,800,8,4,16,0.97838,60,61
2,128,800,8,4,32,0.725286,60,60
2,128,800,8,8,2,2.82286,60,61
2,128,800,8,8,4,1.513381,60,61
2,128,800,8,8,8,0.996581,60,60
2,128,800,8,8,16,0.7494,60,61
2,128,800,8,16,2,1.582298,60,61
2,128,800,8,16,4,1.030399,60,61
2,128,800,8,16,8,0.77518,60,60
2,128,800,8,32,2,1.091785,60,61
2,128,800,8,32,4,0.815188,60,61
2,128,800,8,64,2,0.857591,60,61
2,128,800,16,2,2,5.181433,60,62
2,128,800,16,2,4,2.753545,60,61
2,128,800,16,2,8,1.463575,60,61
2,128,800,16,2,16,0.997839,60,61
2,128,800,16,2,32,0.740962,60,60
2,128,800,16,4,2,2.899153,60,61
2,128,800,16,4,4,1.538866,60,61
2,128,800,16,4,8,1.020153,60,61
2,128,800,16,4,16,0.761347,60,61
2,128,800,16,8,2,1.605134,60,61
2,128,800,16,8,4,1.05582,60,61
2,128,800,16,8,8,0.780846,60,61
2,128,800,16,16,2,1.095139,60,61
2,128,800,16,16,4,0.805851,60,61
2,128,800,16,32,2,0.865476,60,61
2,128,800,32,2,2,2.887941,60,61
2,128,800,32,2,4,1.56317,60,61
2,128,800,32,2,8,1.040983,60,61
2,128,800,32,2,16,0.789091,60,61
2,128,800,32,4,2,1.659228,60,61
2,128,800,32,4,4,1.094787,60,61
2,128,800,32,4,8,0.814833,60,61
2,128,800,32,8,2,1.133348,60,61
2,128,800,32,8,4,0.837556,60,61
2,128,800,32,16,2,0.876516,60,61
2,128,800,64,2,2,1.679292,60,61
2,128,800,64,2,4,1.120666,60,61
2,128,800,64,2,8,0.832845,60,60
2,128,800,64,4,2,1.17733,60,61
2,128,800,64,4,4,0.868626,60,61
2,128,800,64,8,2,0.902975,60,61
2,256,800,2,2,2,36.489032,60,70
2,256,800,2,2,4,19.14211,60,66
2,256,800,2,2,8,9.692378,60,63
2,256,800,2,2,16,5.067689,60,62
2,256,800,2,2,32,2.56615,60,61
2,256,800,2,2,64,1.313419,60,61
2,256,800,2,4,2,19.256662,60,65
2,256,800,2,4,4,9.891871,60,63
2,256,800,2,4,8,5.031757,60,62
2,256,800,2,4,16,2.618742,60,61
2,256,800,2,4,32,1.364949,60,61
2,256,800,2,4,64,0.860277,60,61
2,256,800,2,8,2,9.922091,60,63
2,256,800,2,8,4,5.127466,60,62
2,256,800,2,8,8,2.634116,60,61
2,256,800,2,8,16,1.399689,60,61
2,256,800,2,8,32,0.890488,60,61
2,256,800,2,8,64,0.652982,60,61
2,256,800,2,16,2,5.16724,60,62
2,256,800,2,16,4,2.711108,60,61
2,256,800,2,16,8,1.436824,60,61
2,256,800,2,16,16,0.931753,60,61
2,256,800,2,16,32,0.667535,60,60
2,256,800,2,32,2,2.79271,60,61
2,256,800,2,32,4,1.499197,60,61
2,256,800,2,32,8,0.982392,60,61
2,256,800,2,32,16,0.701455,60,61
2,256,800,2,64,2,1.584746,60,61
2,256,800,2,64,4,1.029683,60,61
2,256,800,2,64,8,0.744009,60,61
2,256,800,4,2,2,18.874317,60,65
2,256,800,4,2,4,9.923731,60,63
2,256,800,4,2,8,5.038888,60,62
2,256,800,4,2,16,2.646367,60,61
2,256,800,4,2,32,1.369805,60,61
2,256,800,4,2,64,0.900316,60,61
2,256,800,4,4,2,10.049325,60,63
2,256,800,4,4,4,5.168867,60,62
2,256,800,4,4,8,2.653882,60,61
2,256,800,4,4,16,1.414297,60,61
2,256,800,4,4,32,0.92768,60,61
2,256,800,4,4,64,0.661676,60,61
2,256,800,4,8,2,5.208857,60,62
2,256,800,4,8,4,2.72488,60,61
2,256,800,4,8,8,1.44376,60,61
2,256,800,4,8,16,0.958632,60,61
2,256,800,4,8,32,0.699617,60,61
2,256,800,4,16,2,2.772117,60,61
2,256,800,4,16,4,1.49323,60,61
2,256,800,4,16,8,0.981636,60,61
2,256,800,4,16,16,0.72691,60,61
2,256,800,4,32,2,1.581278,60,61
2,256,800,4,32,4,1.034273,60,61
2,256,800,4,32,8,0.768997,60,61
2,256,800,4,64,2,1.089685,60,61
2,256,800,4,64,4,0.802715,60,61
2,256,800,8,2,2,9.875425,60,63
2,256,800,8,2,4,5.171544,60,62
2,256,800,8,2,8,2.653584,60,61
2,256,800,8,2,16,1.424137,60,61
2,256,800,8,2,32,0.948387,60,61
2,256,800,8,2,64,0.696622,60,60
2,256,800,8,4,2,5.255133,60,62
2,256,800,8,4,4,2.747771,60,61
2,256,800,8,4,8,1.461771,60,61
2,256,800,8,4,16,0.978215,60,61
2,256,800,8,4,32,0.725085,60,61
2,256,800,8,8,2,2.823873,60,61
2,256,800,8,8,4,1.513098,60,61
2,256,800,8,8,8,0.996596,60,61
2,256,800,8,8,16,0.749447,60,60
2,256,800,8,16,2,1.575506,60,61
2,256,800,8,16,4,1.030413,60,61
2,256,800,8,16,8,0.775041,60,60
2,256,800,8,32,2,1.091437,60,60
2,256,800,8,32,4,0.815198,60,60
2,256,800,8,64,2,0.857398,60,61
2,256,800,16,2,2,5.181356,60,62
2,256,800,16,2,4,2.753385,60,61
2,256,800,16,2,8,1.463222,60,61
2,256,800,16,2,16,0.997821,60,60
2,256,800,16,2,32,0.740829,60,60
2,256,800,16,4,2,2.897888,60,61
2,256,800,16,4,4,1.539103,60,61
2,256,800,16,4,8,1.020108,60,61
2,256,800,16,4,16,0.761583,60,61
2,256,800,16,8,2,1.604909,60,61
2,256,800,16,8,4,1.055857,60,61
2,256,800,16,8,8,0.78105,60,60
2,256,800,16,16,2,1.095248,60,60
2,256,800,16,16,4,0.806158,60,61
2,256,800,16,32,2,0.865224,60,61
2,256,800,32,2,2,2.887853,60,61
2,256,800,32,2,4,1.562538,60,61
2,256,800,32,2,8,1.040929,60,61
2,256,800,32,2,16,0.789203,60,61
2,256,800,32,4,2,1.659232,60,61
2,256,800,32,4,4,1.094519,60,61
2,256,800,32,4,8,0.814637,60,60
2,256,800,32,8,2,1.13342,60,61
2,256,800,32,8,4,0.837741,60,61
2,256,800,32,16,2,0.876333,60,61
2,256,800,64,2,2,1.678855,60,61
2,256,800,64,2,4,1.120607,60,61
2,256,800,64,2,8,0.832622,60,60
2,256,800,64,4,2,1.177317,60,61
2,256,800,64,4,4,0.868456,60,60
2,256,800,64,8,2,0.903038,60,61
2,512,800,2,2,2,36.488629,60,70
2,512,800,2,2,4,19.142309,60,66
2,512,800,2,2,8,9.692648,60,63
2,512,800,2,2,16,5.0675,60,62
2,512,800,2,2,32,2.566037,60,61
2,512,800,2,2,64,1.313549,60,61
2,512,800,2,4,2,19.253691,60,65
2,512,800,2,4,4,9.888953,60,63
2,512,800,2,4,8,5.031659,60,62
2,512,800,2,4,16,2.619186,60,61
2,512,800,2,4,32,1.359195,60,61
2,512,800,2,4,64,0.860231,60,61
2,512,800,2,8,2,9.922146,60,63
2,512,800,2,8,4,5.12723,60,62
2,512,800,2,8,8,2.633539,60,61
2,512,800,2,8,16,1.3995,60,61
2,512,800,2,8,32,0.896957,60,61
2,512,800,2,8,64,0.653131,60,60
2,512,800,2,16,2,5.167756,60,62
2,512,800,2,16,4,2.710998,60,61
2,512,800,2,16,8,1.429338,60,61
2,512,800,2,16,16,0.93149,60,61
2,512,800,2,16,32,0.667465,60,60
2,512,800,2,32,2,2.79232,60,61
2,512,800,2,32,4,1.498764,60,61
2,512,800,2,32,8,0.982116,60,61
2,512,800,2,32,16,0.701521,60,60
2,512,800,2,64,2,1.584715,60,61
2,512,800,2,64,4,1.02968,60,61
