so,thread_limit,x,y,z,execution time,speedup
2,256,2,8,64,0.145958,1.765720275695748
2,256,8,2,64,0.145995,1.7652727833144968
2,256,16,2,32,0.146197,1.7628337106780576
2,256,4,4,64,0.146548,1.7586115129513877
2,256,8,4,32,0.146988,1.7533472120173073
8,256,16,2,32,0.260638,1.607221510293971
8,256,16,4,16,0.264957,1.581022581022581
8,256,8,4,32,0.269522,1.5542441804379608
8,256,32,2,16,0.270154,1.5506081716354376
8,256,8,2,64,0.270396,1.5492204026686784
16,256,16,2,32,0.382309,1.7960393294429373
16,256,32,2,16,0.388079,1.7693356249629584
16,256,16,4,16,0.39095,1.7563422432536129
16,256,16,8,8,0.396223,1.7329685555861218
16,256,8,4,32,0.40102,1.712238791082739
