Szálak száma	Thread limit	X	Y	Z	Idõ	Különbség	Százalékos viszony	alap	0.034200
1024	512	8	4	32	0.015781	-0.018419	46%		
1024	512	4	8	32	0.016404	-0.017796	48%		
1024	512	4	4	64	0.016692	-0.017508	49%		
1024	512	16	4	16	0.016898	-0.017302	49%		
1024	512	8	8	16	0.017307	-0.016893	51%		
1024	512	4	16	16	0.018087	-0.016113	53%		
512	256	4	4	32	0.018739	-0.015461	55%		
512	256	8	4	16	0.019163	-0.015037	56%		
512	256	4	8	16	0.020124	-0.014076	59%		
2048	1024	16	4	32	0.020513	-0.013687	60%		
512	512	4	4	32	0.020745	-0.013455	61%		
512	512	8	4	16	0.020807	-0.013393	61%		
2048	1024	8	8	32	0.021367	-0.012833	62%		
2048	1024	8	4	64	0.021383	-0.012817	63%		
512	512	4	8	16	0.021952	-0.012248	64%		
2048	1024	32	4	16	0.022234	-0.011966	65%		
2048	1024	4	16	32	0.022488	-0.011712	66%		
2048	1024	4	8	64	0.022568	-0.011632	66%		
1024	512	32	4	8	0.023132	-0.011068	68%		
2048	1024	8	16	16	0.023143	-0.011057	68%		
1024	512	16	8	8	0.023274	-0.010926	68%		
2048	1024	16	8	16	0.023335	-0.010865	68%		
1024	512	8	16	8	0.023448	-0.010752	69%		
512	256	16	4	8	0.023693	-0.010507	69%		
512	256	8	8	8	0.023728	-0.010472	69%		
1024	512	4	32	8	0.024070	-0.010130	70%		
2048	1024	4	32	16	0.024102	-0.010098	70%		
512	256	4	16	8	0.024513	-0.009687	72%		
256	256	4	4	16	0.024618	-0.009582	72%		
512	512	16	4	8	0.026739	-0.007461	78%		
512	512	8	8	8	0.026954	-0.007246	79%		
256	256	8	4	8	0.027363	-0.006837	80%		
512	512	4	16	8	0.027662	-0.006538	81%		
256	256	4	8	8	0.028531	-0.005669	83%		
256	128	4	4	16	0.028569	-0.005631	84%		
1024	1024	8	4	32	0.029225	-0.004975	85%		
256	128	8	4	8	0.029739	-0.004461	87%		
2048	1024	32	8	8	0.029870	-0.004330	87%		
2048	1024	8	32	8	0.030104	-0.004096	88%		
2048	1024	64	4	8	0.030357	-0.003843	89%		
1024	1024	16	4	16	0.030514	-0.003686	89%		
1024	1024	4	8	32	0.030953	-0.003247	91%		
1024	1024	4	4	64	0.031004	-0.003196	91%		
256	128	4	8	8	0.031746	-0.002454	93%		
2048	1024	16	16	8	0.031853	-0.002347	93%		
1024	1024	8	8	16	0.032111	-0.002089	94%		
256	512	4	4	16	0.032243	-0.001957	94%		
1024	1024	4	16	16	0.033304	-0.000896	97%		
256	512	8	4	8	0.035326	0.001126	103%		
2048	1024	4	64	8	0.036319	0.002119	106%		
512	256	32	4	4	0.037747	0.003547	110%		
512	256	16	8	4	0.037754	0.003554	110%		
128	128	4	4	8	0.037850	0.003650	111%		
512	256	8	16	4	0.038253	0.004053	112%		
1024	512	64	4	4	0.038584	0.004384	113%		
1024	1024	16	8	8	0.038718	0.004518	113%		
1024	1024	8	16	8	0.039032	0.004832	114%		
1024	512	8	32	4	0.039342	0.005142	115%		
1024	512	32	8	4	0.039482	0.005282	115%		
1024	512	16	16	4	0.039491	0.005291	115%		
1024	512	4	64	4	0.039713	0.005513	116%		
256	256	16	4	4	0.040549	0.006349	119%		
128	256	4	4	8	0.040729	0.006529	119%		
256	512	4	8	8	0.040997	0.006797	120%		
512	256	4	32	4	0.041167	0.006967	120%		
256	128	4	16	4	0.041470	0.007270	121%		
