so,limit,size,x,y,z,execution time, begin temperature,end temperature
4,256,336,16,4,32,2.70,46,48
4,256,336,16,8,16,2.82,47,49
4,256,336,16,16,8,3.08,49,51
4,512,336,16,16,8,3.02,50,52
4,256,560,16,4,32,10.90,51,56
4,256,560,16,8,16,14.28,55,60
4,256,560,16,16,8,19.05,59,65
4,512,560,16,16,8,14.97,60,66
4,256,720,16,4,32,25.42,60,69
4,256,720,16,8,16,36.52,60,71
4,256,720,16,16,8,61.55,60,76
4,512,720,16,16,8,45.77,60,73
8,256,336,16,4,32,3.70,60,63
8,256,336,16,8,16,4.04,60,63
8,256,336,16,16,8,4.48,60,63
8,512,336,16,16,8,4.10,60,63
8,256,560,16,4,32,14.17,60,67
8,256,560,16,8,16,18.66,60,68
8,256,560,16,16,8,26.63,60,69
8,512,560,16,16,8,22.54,60,68
8,256,720,16,4,32,31.82,60,73
8,256,720,16,8,16,46.48,60,75
8,256,720,16,16,8,77.98,60,79
8,512,720,16,16,8,58.63,60,77
16,256,336,16,4,32,5.59,60,64
16,256,336,16,8,16,5.73,60,64
16,256,336,16,16,8,6.53,60,64
16,512,336,16,16,8,7.00,60,64
16,256,560,16,4,32,22.02,60,71
16,256,560,16,8,16,25.06,60,71
16,256,560,16,16,8,41.83,60,74
16,512,560,16,16,8,29.52,60,72
16,256,720,16,4,32,51.00,60,78
16,256,720,16,8,16,60.44,60,79
16,256,720,16,16,8,123.72,60,81
16,512,720,16,16,8,71.10,60,80
