so,limit,size,x,y,z,execution time, begin temperature,end temperature
4,256,336,4,8,32,2.90,53,56
4,256,336,4,4,32,3.09,55,57
4,256,336,4,2,32,3.18,57,58
4,256,336,8,16,8,3.13,58,60
4,256,336,8,16,16,2.66,60,61
4,512,336,8,8,16,3.12,61,62
4,256,336,8,8,16,2.99,62,63
4,256,336,8,4,32,2.76,63,64
4,256,336,8,8,32,2.52,64,65
4,512,336,8,4,32,3.02,64,66
4,256,336,8,8,8,3.97,66,67
4,256,336,16,4,32,2.59,67,68
4,256,336,16,8,16,2.63,67,68
4,256,336,16,16,8,3.04,68,69
4,512,336,16,16,8,2.89,69,71
4,256,560,4,8,32,14.52,67,73
4,256,560,4,4,32,13.32,69,75
4,256,560,4,2,32,14.30,71,77
4,256,560,8,16,8,26.92,73,80
4,256,560,8,16,16,16.51,76,80
4,512,560,8,8,16,15.62,75,79
4,256,560,8,8,16,16.97,75,80
4,256,560,8,4,32,12.19,76,79
4,256,560,8,8,32,12.33,75,79
4,512,560,8,4,32,11.73,75,79
4,256,560,8,8,8,31.32,75,81
4,256,560,16,4,32,11.59,77,80
4,256,560,16,8,16,15.00,76,79
4,256,560,16,16,8,20.27,76,80
4,512,560,16,16,8,16.34,76,80
4,256,720,4,8,32,31.29,76,81
4,256,720,4,4,32,35.03,77,81
4,256,720,4,2,32,40.48,77,81
4,256,720,8,16,8,97.54,77,82
4,256,720,8,16,16,59.42,78,81
4,512,720,8,8,16,50.58,78,82
4,256,720,8,8,16,56.15,78,82
4,256,720,8,4,32,37.96,78,81
4,256,720,8,8,32,33.41,78,81
4,512,720,8,4,32,33.37,78,81
4,256,720,8,8,8,100.95,77,82
4,256,720,16,4,32,33.88,78,81
4,256,720,16,8,16,47.17,78,82
4,256,720,16,16,8,98.87,78,82
4,512,720,16,16,8,70.68,78,82
8,256,336,4,8,32,4.78,78,79
8,256,336,4,4,32,4.77,76,78
8,256,336,4,2,32,4.58,74,77
8,256,336,8,16,8,4.72,73,75
8,256,336,8,16,16,4.03,71,74
8,512,336,8,8,16,3.81,70,73
8,256,336,8,8,16,4.17,70,73
8,256,336,8,4,32,3.85,69,71
8,256,336,8,8,32,3.90,68,71
8,512,336,8,4,32,3.84,68,70
8,256,336,8,8,8,5.62,67,70
8,256,336,16,4,32,3.70,67,70
8,256,336,16,8,16,3.97,66,69
8,256,336,16,16,8,4.44,68,71
8,512,336,16,16,8,3.82,67,70
8,256,560,4,8,32,20.36,67,75
8,256,560,4,4,32,17.85,71,78
8,256,560,4,2,32,19.60,73,79
8,256,560,8,16,8,39.23,75,81
8,256,560,8,16,16,28.92,77,81
8,512,560,8,8,16,21.50,77,81
8,256,560,8,8,16,24.71,77,81
8,256,560,8,4,32,17.57,77,81
8,256,560,8,8,32,21.10,77,81
8,512,560,8,4,32,18.79,77,80
8,256,560,8,8,8,39.81,76,81
8,256,560,16,4,32,16.97,77,80
8,256,560,16,8,16,19.32,76,80
8,256,560,16,16,8,27.08,76,81
8,512,560,16,16,8,23.78,77,81
8,256,720,4,8,32,69.24,77,82
8,256,720,4,4,32,71.88,78,82
8,256,720,4,2,32,83.09,78,82
8,256,720,8,16,8,139.64,78,81
8,256,720,8,16,16,106.31,78,82
8,512,720,8,8,16,76.22,78,82
8,256,720,8,8,16,91.37,78,82
8,256,720,8,4,32,63.95,78,82
8,256,720,8,8,32,70.53,78,82
8,512,720,8,4,32,59.64,78,81
8,256,720,8,8,8,126.64,78,82
8,256,720,16,4,32,59.54,78,82
8,256,720,16,8,16,82.59,78,82
8,256,720,16,16,8,132.55,78,81
8,512,720,16,16,8,96.15,78,81
16,256,336,4,8,32,7.86,78,80
16,256,336,4,4,32,7.12,76,78
16,256,336,4,2,32,7.61,75,78
16,256,336,8,16,8,7.24,74,77
16,256,336,8,16,16,7.46,73,77
16,512,336,8,8,16,7.36,73,76
16,256,336,8,8,16,6.18,73,76
16,256,336,8,4,32,5.78,72,76
16,256,336,8,8,32,7.00,72,75
16,512,336,8,4,32,7.28,71,75
16,256,336,8,8,8,8.02,71,75
16,256,336,16,4,32,5.53,71,74
16,256,336,16,8,16,5.61,71,74
16,256,336,16,16,8,6.49,70,74
16,512,336,16,16,8,6.97,70,74
16,256,560,4,8,32,35.76,70,80
16,256,560,4,4,32,33.85,76,81
16,256,560,4,2,32,43.44,77,81
16,256,560,8,16,8,88.60,78,82
16,256,560,8,16,16,71.73,78,82
16,512,560,8,8,16,38.93,78,81
16,256,560,8,8,16,39.85,77,81
16,256,560,8,4,32,32.70,78,81
16,256,560,8,8,32,47.56,77,82
16,512,560,8,4,32,36.75,78,81
16,256,560,8,8,8,72.70,78,82
16,256,560,16,4,32,36.31,78,81
16,256,560,16,8,16,36.39,78,81
16,256,560,16,16,8,61.34,78,81
16,512,560,16,16,8,46.08,78,81
16,256,720,4,8,32,154.03,78,82
16,256,720,4,4,32,136.21,78,81
16,256,720,4,2,32,149.82,78,81
16,256,720,8,16,8,234.76,78,81
16,256,720,8,16,16,187.20,78,82
16,512,720,8,8,16,122.17,78,81
16,256,720,8,8,16,130.70,78,81
16,256,720,8,4,32,117.52,78,81
16,256,720,8,8,32,148.98,78,81
16,512,720,8,4,32,112.21,78,81
16,256,720,8,8,8,207.17,78,81
16,256,720,16,4,32,109.87,78,82
16,256,720,16,8,16,121.03,78,82
16,256,720,16,16,8,222.27,78,81
16,512,720,16,16,8,153.50,78,81
