so,limit,size,x,y,z,execution time, begin temperature,end temperature
4,256,720,4,8,32,28.76,46,57
4,256,720,4,4,32,27.72,56,65
4,256,720,4,2,32,29.34,60,70
4,256,720,8,16,8,65.35,60,77
4,256,720,8,16,16,41.16,60,71
4,512,720,8,8,16,34.84,60,71
4,256,720,8,8,16,38.88,60,71
4,256,720,8,4,32,27.28,60,70
4,256,720,8,8,32,24.64,60,69
4,512,720,8,4,32,24.22,60,70
4,256,720,8,8,8,67.08,60,77
4,256,720,16,4,32,24.77,60,69
4,256,720,16,8,16,36.53,60,71
4,256,720,16,16,8,62.96,60,76
4,512,720,16,16,8,45.48,60,73
8,256,720,4,8,32,41.29,60,75
8,256,720,4,4,32,35.97,60,75
8,256,720,4,2,32,39.26,60,76
8,256,720,8,16,8,87.15,60,79
8,256,720,8,16,16,59.86,60,77
8,512,720,8,8,16,41.33,60,74
8,256,720,8,8,16,51.00,60,75
8,256,720,8,4,32,33.23,60,73
8,256,720,8,8,32,39.44,60,74
8,512,720,8,4,32,30.83,60,73
8,256,720,8,8,8,81.04,60,79
8,256,720,16,4,32,32.11,60,73
8,256,720,16,8,16,46.93,60,74
8,256,720,16,16,8,78.00,60,77
8,512,720,16,16,8,57.90,60,76
16,256,720,4,8,32,74.51,60,80
16,256,720,4,4,32,57.24,60,79
16,256,720,4,2,32,63.61,60,79
16,256,720,8,16,8,134.05,60,81
16,256,720,8,16,16,102.59,60,80
16,512,720,8,8,16,55.28,60,78
16,256,720,8,8,16,63.85,60,79
16,256,720,8,4,32,54.41,60,78
16,256,720,8,8,32,71.40,60,80
16,512,720,8,4,32,55.36,60,78
16,256,720,8,8,8,110.06,61,81
16,256,720,16,4,32,51.06,60,78
16,256,720,16,8,16,60.60,60,79
16,256,720,16,16,8,122.91,60,80
16,512,720,16,16,8,71.06,60,79
